n,GHE Load,ghe_Tin/HP_Tout,ghe_Tout/HP_Tin,bldgload
131,-7.37636,6.26895,7.14709,1000
132,-7.38036,6.26559,7.14421,1000
133,-7.38254,6.26273,7.1416,1000
134,-7.38344,6.26013,7.13912,1000
135,-7.38368,6.25766,7.13667,1000
136,-7.38372,6.25523,7.13424,1000
137,-7.38375,6.25282,7.13183,1000
138,-7.38386,6.25042,7.12945,1000
139,-7.38401,6.24804,7.12709,1000
140,-7.38418,6.2457,7.12477,1000
141,-7.38433,6.24339,7.12248,1000
142,-7.38445,6.24111,7.12021,1000
143,-7.38455,6.23885,7.11797,1000
144,-7.38462,6.23662,7.11574,1000
145,-7.38468,6.23441,7.11354,1000
146,-7.38473,6.23222,7.11135,1000
147,-7.38478,6.23004,7.10918,1000
148,-7.38482,6.22789,7.10703,1000
149,-7.38485,6.22574,7.10489,1000
150,-7.38488,6.22361,7.10277,1000
151,-7.38491,6.2215,7.10066,1000
152,-7.38493,6.2194,7.09856,1000
153,-7.38495,6.21732,7.09648,1000
154,-7.38497,6.21524,7.09441,1000
155,-7.38499,6.21319,7.09235,1000
156,-7.38501,6.21114,7.09031,1000
157,-7.38502,6.20911,7.08828,1000
158,-7.38504,6.20709,7.08626,1000
159,-7.38505,6.20508,7.08425,1000
160,-7.38506,6.20308,7.08225,1000
161,-7.38508,6.2011,7.08027,1000
162,-7.38509,6.19912,7.0783,1000
163,-7.3851,6.19716,7.07634,1000
164,-7.3851,6.19521,7.07439,1000
165,-7.38511,6.19327,7.07245,1000
166,-7.38512,6.19134,7.07052,1000
167,-7.38513,6.18942,7.06861,1000
168,-7.38513,6.18752,7.0667,1000
169,-7.38514,6.18562,7.0648,1000
170,-7.38514,6.18374,7.06292,1000
171,-7.38515,6.18186,7.06104,1000
172,-7.38515,6.17999,7.05918,1000
173,-7.38516,6.17814,7.05733,1000
174,-7.38516,6.1763,7.05548,1000
175,-7.38516,6.17446,7.05365,1000
176,-7.38516,6.17264,7.05182,1000
177,-7.38517,6.17082,7.05001,1000
178,-7.38517,6.16901,7.0482,1000
179,-7.38517,6.16722,7.04641,1000
180,-7.38517,6.16543,7.04462,1000
181,-7.38517,6.16365,7.04284,1000
182,-7.38517,6.16189,7.04107,1000
183,-7.38517,6.16013,7.03931,1000
184,-7.38517,6.15838,7.03756,1000
185,-7.38517,6.15664,7.03582,1000
186,-7.38516,6.15491,7.03409,1000
187,-7.38516,6.15318,7.03237,1000
188,-7.38516,6.15147,7.03065,1000
189,-7.38513,6.14976,7.02894,1000
190,-7.38508,6.14806,7.02724,1000
191,-7.38502,6.14636,7.02553,1000
192,-7.38498,6.14467,7.02383,1000
193,-7.38496,6.14298,7.02214,1000
194,-7.38497,6.14129,7.02045,1000
195,-7.38499,6.13961,7.01878,1000
196,-7.38501,6.13795,7.01712,1000
197,-7.38502,6.1363,7.01547,1000
198,-7.38503,6.13465,7.01382,1000
199,-7.38503,6.13302,7.01219,1000
200,-7.38502,6.13139,7.01056,1000
201,-7.38502,6.12978,7.00894,1000
202,-7.38501,6.12817,7.00733,1000
203,-7.385,6.12656,7.00573,1000
204,-7.385,6.12497,7.00413,1000
205,-7.38499,6.12338,7.00255,1000
206,-7.38499,6.1218,7.00097,1000
207,-7.38498,6.12023,6.99939,1000
208,-7.38497,6.11866,6.99783,1000
209,-7.38497,6.11711,6.99627,1000
210,-7.38496,6.11556,6.99472,1000
211,-7.38495,6.11401,6.99318,1000
212,-7.38494,6.11248,6.99164,1000
213,-7.38493,6.11095,6.99011,1000
214,-7.38493,6.10943,6.98859,1000
215,-7.38492,6.10791,6.98707,1000
216,-7.38491,6.10641,6.98556,1000
217,-7.3849,6.1049,6.98406,1000
218,-7.38489,6.10341,6.98256,1000
219,-7.38488,6.10192,6.98107,1000
220,-7.38487,6.10044,6.97959,1000
221,-7.38486,6.09897,6.97812,1000
222,-7.38485,6.0975,6.97665,1000
223,-7.38484,6.09604,6.97518,1000
