Hour, Average fluid temperature (°C), HP Inlet fluid temperature (°C), HP Outlet fluid temperature (°C), Load on ground (W/m),  Heat pump power consumption (kWh)
1,8.58,9.04,8.12,7.484,0.257
2,8.19,8.65,7.73,7.468,0.259
3,7.98,8.44,7.52,7.459,0.26
4,7.83,8.29,7.38,7.453,0.261
5,7.73,8.19,7.27,7.448,0.261
6,7.65,8.1,7.19,7.445,0.262
7,7.58,8.04,7.12,7.442,0.262
8,7.52,7.98,7.07,7.44,0.262
9,7.48,7.93,7.02,7.438,0.263
10,7.43,7.89,6.98,7.436,0.263
11,7.4,7.85,6.94,7.435,0.263
12,7.36,7.82,6.91,7.433,0.263
13,7.33,7.79,6.88,7.432,0.263
14,7.31,7.76,6.85,7.431,0.263
15,7.28,7.74,6.83,7.43,0.264
16,7.26,7.72,6.8,7.429,0.264
17,7.24,7.69,6.78,7.428,0.264
18,7.22,7.67,6.76,7.427,0.264
19,7.2,7.66,6.74,7.426,0.264
20,7.18,7.64,6.73,7.426,0.264
21,7.17,7.62,6.71,7.425,0.264
22,7.15,7.61,6.69,7.424,0.264
23,7.13,7.59,6.68,7.424,0.264
24,7.12,7.58,6.66,7.423,0.264
25,7.11,7.56,6.65,7.422,0.264
26,7.09,7.55,6.64,7.422,0.265
27,7.08,7.54,6.62,7.421,0.265
28,7.07,7.53,6.61,7.421,0.265
29,7.06,7.51,6.6,7.42,0.265
30,7.05,7.5,6.59,7.42,0.265
31,7.04,7.49,6.58,7.419,0.265
32,7.03,7.48,6.57,7.419,0.265
33,7.02,7.47,6.56,7.418,0.265
34,7.01,7.46,6.55,7.418,0.265
35,7,7.45,6.54,7.418,0.265
36,6.99,7.44,6.53,7.417,0.265
37,6.98,7.43,6.52,7.417,0.265
38,6.97,7.43,6.51,7.417,0.265
39,6.96,7.42,6.51,7.416,0.265
40,6.95,7.41,6.5,7.416,0.265
41,6.95,7.4,6.49,7.415,0.265
42,6.94,7.39,6.48,7.415,0.265
43,6.93,7.39,6.48,7.415,0.265
44,6.92,7.38,6.47,7.415,0.265
45,6.92,7.37,6.46,7.414,0.265
46,6.91,7.37,6.45,7.414,0.266
47,6.9,7.36,6.45,7.414,0.266
48,6.9,7.35,6.44,7.413,0.266
49,6.89,7.35,6.43,7.413,0.266
50,6.88,7.34,6.43,7.413,0.266
51,6.88,7.33,6.42,7.413,0.266
52,6.87,7.33,6.42,7.412,0.266
53,6.87,7.32,6.41,7.412,0.266
54,6.86,7.32,6.4,7.412,0.266
55,6.85,7.31,6.4,7.412,0.266
56,6.85,7.3,6.39,7.411,0.266
57,6.84,7.3,6.39,7.411,0.266
58,6.84,7.29,6.38,7.411,0.266
59,6.83,7.29,6.38,7.411,0.266
60,6.83,7.28,6.37,7.41,0.266
61,6.82,7.28,6.37,7.41,0.266
62,6.82,7.27,6.36,7.41,0.266
63,6.81,7.27,6.36,7.41,0.266
64,6.81,7.26,6.35,7.409,0.266
65,6.8,7.26,6.34,7.409,0.266
66,6.79,7.25,6.34,7.409,0.266
67,6.79,7.24,6.33,7.409,0.266
68,6.78,7.24,6.33,7.408,0.266
69,6.78,7.23,6.32,7.408,0.266
70,6.77,7.23,6.31,7.408,0.266
71,6.76,7.22,6.31,7.408,0.266
72,6.76,7.21,6.3,7.407,0.266
73,6.75,7.21,6.3,7.407,0.266
74,6.75,7.2,6.29,7.407,0.266
75,6.74,7.2,6.29,7.407,0.266
76,6.74,7.19,6.28,7.406,0.266
77,6.73,7.19,6.28,7.406,0.266
78,6.73,7.18,6.27,7.406,0.266
79,6.72,7.18,6.27,7.406,0.267
80,6.72,7.17,6.26,7.406,0.267
81,6.71,7.17,6.26,7.405,0.267
82,6.71,7.16,6.25,7.405,0.267
83,6.7,7.16,6.25,7.405,0.267
84,6.7,7.15,6.24,7.405,0.267
85,6.69,7.15,6.24,7.404,0.267
86,6.69,7.14,6.23,7.404,0.267
87,6.68,7.14,6.23,7.404,0.267
88,6.68,7.13,6.22,7.404,0.267
89,6.67,7.13,6.22,7.404,0.267
90,6.67,7.12,6.21,7.403,0.267
91,6.66,7.12,6.21,7.403,0.267
92,6.66,7.11,6.2,7.403,0.267
93,6.66,7.11,6.2,7.403,0.267
94,6.65,7.11,6.2,7.403,0.267
95,6.65,7.1,6.19,7.402,0.267
96,6.64,7.1,6.19,7.402,0.267
97,6.64,7.09,6.18,7.402,0.267
98,6.63,7.09,6.18,7.402,0.267
99,6.63,7.09,6.18,7.402,0.267
100,6.63,7.08,6.17,7.402,0.267
101,6.62,7.08,6.17,7.401,0.267
102,6.62,7.07,6.16,7.401,0.267
103,6.61,7.07,6.16,7.401,0.267
104,6.61,7.07,6.16,7.401,0.267
105,6.61,7.06,6.15,7.401,0.267
106,6.6,7.06,6.15,7.401,0.267
107,6.6,7.05,6.14,7.4,0.267
108,6.6,7.05,6.14,7.4,0.267
109,6.59,7.05,6.14,7.4,0.267
110,6.59,7.04,6.13,7.4,0.267
111,6.58,7.04,6.13,7.4,0.267
112,6.58,7.04,6.13,7.4,0.267
113,6.58,7.03,6.12,7.399,0.267
114,6.57,7.03,6.12,7.399,0.267
115,6.57,7.02,6.11,7.399,0.267
116,6.57,7.02,6.11,7.399,0.267
117,6.56,7.02,6.11,7.399,0.267
118,6.56,7.01,6.1,7.399,0.267
119,6.56,7.01,6.1,7.399,0.267
120,6.55,7.01,6.1,7.398,0.267
121,6.55,7,6.09,7.398,0.267
122,6.55,7,6.09,7.398,0.267
123,6.54,7,6.09,7.398,0.267
124,6.54,6.99,6.08,7.398,0.267
125,6.54,6.99,6.08,7.398,0.268
126,6.53,6.99,6.08,7.398,0.268
127,6.53,6.99,6.08,7.397,0.268
128,6.53,6.98,6.07,7.397,0.268
129,6.53,6.98,6.07,7.397,0.268
130,6.52,6.98,6.07,7.397,0.268
131,6.52,6.98,6.07,7.397,0.268
132,6.52,6.97,6.06,7.397,0.268
133,6.52,6.97,6.06,7.397,0.268
134,6.52,6.97,6.06,7.397,0.268
135,6.51,6.97,6.06,7.397,0.268
136,6.51,6.97,6.06,7.397,0.268
137,6.51,6.96,6.05,7.396,0.268
138,6.51,6.96,6.05,7.396,0.268
139,6.5,6.96,6.05,7.396,0.268
140,6.5,6.96,6.05,7.396,0.268
141,6.5,6.96,6.05,7.396,0.268
142,6.5,6.95,6.04,7.396,0.268
143,6.5,6.95,6.04,7.396,0.268
144,6.49,6.95,6.04,7.396,0.268
145,6.49,6.95,6.04,7.396,0.268
146,6.49,6.95,6.04,7.396,0.268
147,6.49,6.94,6.03,7.396,0.268
148,6.49,6.94,6.03,7.396,0.268
149,6.49,6.94,6.03,7.395,0.268
150,6.48,6.94,6.03,7.395,0.268
151,6.48,6.94,6.03,7.395,0.268
152,6.48,6.93,6.02,7.395,0.268
153,6.48,6.93,6.02,7.395,0.268
154,6.48,6.93,6.02,7.395,0.268
155,6.47,6.93,6.02,7.395,0.268
156,6.47,6.93,6.02,7.395,0.268
157,6.47,6.92,6.02,7.395,0.268
158,6.47,6.92,6.01,7.395,0.268
159,6.47,6.92,6.01,7.395,0.268
160,6.46,6.92,6.01,7.395,0.268
161,6.46,6.92,6.01,7.394,0.268
162,6.46,6.92,6.01,7.394,0.268
163,6.46,6.91,6,7.394,0.268
164,6.46,6.91,6,7.394,0.268
165,6.46,6.91,6,7.394,0.268
166,6.45,6.91,6,7.394,0.268
167,6.45,6.91,6,7.394,0.268
168,6.45,6.91,6,7.394,0.268
169,6.45,6.9,5.99,7.394,0.268
170,6.45,6.9,5.99,7.394,0.268
171,6.45,6.9,5.99,7.394,0.268
172,6.44,6.9,5.99,7.394,0.268
173,6.44,6.9,5.99,7.394,0.268
174,6.44,6.9,5.99,7.393,0.268
175,6.44,6.89,5.98,7.393,0.268
176,6.44,6.89,5.98,7.393,0.268
177,6.44,6.89,5.98,7.393,0.268
178,6.43,6.89,5.98,7.393,0.268
179,6.43,6.89,5.98,7.393,0.268
180,6.43,6.89,5.98,7.393,0.268
181,6.43,6.88,5.98,7.393,0.268
182,6.43,6.88,5.97,7.393,0.268
183,6.43,6.88,5.97,7.393,0.268
184,6.43,6.88,5.97,7.393,0.268
185,6.42,6.88,5.97,7.393,0.268
186,6.42,6.88,5.97,7.393,0.268
187,6.42,6.87,5.97,7.393,0.268
188,6.42,6.87,5.96,7.393,0.268
189,6.42,6.87,5.96,7.392,0.268
190,6.42,6.87,5.96,7.392,0.268
191,6.41,6.87,5.96,7.392,0.268
192,6.41,6.87,5.96,7.392,0.268
193,6.41,6.87,5.96,7.392,0.268
194,6.41,6.86,5.96,7.392,0.268
195,6.41,6.86,5.95,7.392,0.268
196,6.41,6.86,5.95,7.392,0.268
197,6.41,6.86,5.95,7.392,0.268
198,6.4,6.86,5.95,7.392,0.268
199,6.4,6.86,5.95,7.392,0.268
200,6.4,6.86,5.95,7.392,0.268
201,6.4,6.85,5.95,7.392,0.268
202,6.4,6.85,5.94,7.392,0.268
203,6.4,6.85,5.94,7.392,0.268
204,6.4,6.85,5.94,7.391,0.268
205,6.39,6.85,5.94,7.391,0.268
206,6.39,6.85,5.94,7.391,0.268
207,6.39,6.85,5.94,7.391,0.268
208,6.39,6.84,5.94,7.391,0.268
209,6.39,6.84,5.93,7.391,0.268
210,6.39,6.84,5.93,7.391,0.268
211,6.39,6.84,5.93,7.391,0.268
212,6.38,6.84,5.93,7.391,0.268
213,6.38,6.84,5.93,7.391,0.268
214,6.38,6.84,5.93,7.391,0.268
215,6.38,6.84,5.93,7.391,0.268
216,6.38,6.83,5.93,7.391,0.268
217,6.38,6.83,5.92,7.391,0.268
218,6.38,6.83,5.92,7.391,0.268
219,6.38,6.83,5.92,7.391,0.268
220,6.37,6.83,5.92,7.391,0.268
221,6.37,6.83,5.92,7.39,0.268
222,6.37,6.83,5.92,7.39,0.268
223,6.37,6.82,5.92,7.39,0.268
224,6.37,6.82,5.91,7.39,0.268
225,6.37,6.82,5.91,7.39,0.268
226,6.37,6.82,5.91,7.39,0.268
227,6.37,6.82,5.91,7.39,0.268
228,6.36,6.82,5.91,7.39,0.268
229,6.36,6.82,5.91,7.39,0.268
230,6.36,6.82,5.91,7.39,0.268
231,6.36,6.81,5.91,7.39,0.268
232,6.36,6.81,5.9,7.39,0.268
233,6.36,6.81,5.9,7.39,0.268
234,6.36,6.81,5.9,7.39,0.268
235,6.36,6.81,5.9,7.39,0.268
236,6.35,6.81,5.9,7.39,0.269
237,6.35,6.81,5.9,7.39,0.269
238,6.35,6.81,5.9,7.39,0.269
239,6.35,6.81,5.9,7.39,0.269
240,6.35,6.8,5.9,7.389,0.269
241,6.35,6.8,5.89,7.389,0.269
242,6.35,6.8,5.89,7.389,0.269
243,6.35,6.8,5.89,7.389,0.269
244,6.34,6.8,5.89,7.389,0.269
245,6.34,6.8,5.89,7.389,0.269
246,6.34,6.8,5.89,7.389,0.269
247,6.34,6.8,5.89,7.389,0.269
248,6.34,6.79,5.89,7.389,0.269
249,6.34,6.79,5.88,7.389,0.269
250,6.34,6.79,5.88,7.389,0.269
251,6.34,6.79,5.88,7.389,0.269
252,6.34,6.79,5.88,7.389,0.269
253,6.33,6.79,5.88,7.389,0.269
254,6.33,6.79,5.88,7.389,0.269
255,6.33,6.79,5.88,7.389,0.269
256,6.33,6.79,5.88,7.389,0.269
257,6.33,6.78,5.88,7.389,0.269
258,6.33,6.78,5.87,7.389,0.269
259,6.33,6.78,5.87,7.389,0.269
260,6.33,6.78,5.87,7.388,0.269
261,6.33,6.78,5.87,7.388,0.269
262,6.32,6.78,5.87,7.388,0.269
263,6.32,6.78,5.87,7.388,0.269
264,6.32,6.78,5.87,7.388,0.269
265,6.32,6.78,5.87,7.388,0.269
266,6.32,6.77,5.87,7.388,0.269
267,6.32,6.77,5.87,7.388,0.269
268,6.32,6.77,5.86,7.388,0.269
269,6.32,6.77,5.86,7.388,0.269
270,6.32,6.77,5.86,7.388,0.269
271,6.32,6.77,5.86,7.388,0.269
272,6.31,6.77,5.86,7.388,0.269
273,6.31,6.77,5.86,7.388,0.269
274,6.31,6.77,5.86,7.388,0.269
275,6.31,6.77,5.86,7.388,0.269
276,6.31,6.76,5.86,7.388,0.269
277,6.31,6.76,5.85,7.388,0.269
278,6.31,6.76,5.85,7.388,0.269
279,6.31,6.76,5.85,7.388,0.269
280,6.31,6.76,5.85,7.388,0.269
281,6.3,6.76,5.85,7.387,0.269
282,6.3,6.76,5.85,7.387,0.269
283,6.3,6.76,5.85,7.387,0.269
284,6.3,6.76,5.85,7.387,0.269
285,6.3,6.76,5.85,7.387,0.269
286,6.3,6.75,5.85,7.387,0.269
287,6.3,6.75,5.84,7.387,0.269
288,6.3,6.75,5.84,7.387,0.269
289,6.3,6.75,5.84,7.387,0.269
290,6.3,6.75,5.84,7.387,0.269
291,6.3,6.75,5.84,7.387,0.269
292,6.29,6.75,5.84,7.387,0.269
293,6.29,6.75,5.84,7.387,0.269
294,6.29,6.75,5.84,7.387,0.269
295,6.29,6.75,5.84,7.387,0.269
296,6.29,6.74,5.84,7.387,0.269
297,6.29,6.74,5.84,7.387,0.269
298,6.29,6.74,5.83,7.387,0.269
299,6.29,6.74,5.83,7.387,0.269
300,6.29,6.74,5.83,7.387,0.269
301,6.29,6.74,5.83,7.387,0.269
302,6.28,6.74,5.83,7.387,0.269
303,6.28,6.74,5.83,7.387,0.269
304,6.28,6.74,5.83,7.387,0.269
305,6.28,6.74,5.83,7.386,0.269
306,6.28,6.73,5.83,7.386,0.269
307,6.28,6.73,5.83,7.386,0.269
308,6.28,6.73,5.82,7.386,0.269
309,6.28,6.73,5.82,7.386,0.269
310,6.28,6.73,5.82,7.386,0.269
311,6.28,6.73,5.82,7.386,0.269
312,6.28,6.73,5.82,7.386,0.269
313,6.27,6.73,5.82,7.386,0.269
314,6.27,6.73,5.82,7.386,0.269
315,6.27,6.73,5.82,7.386,0.269
316,6.27,6.73,5.82,7.386,0.269
317,6.27,6.72,5.82,7.386,0.269
318,6.27,6.72,5.82,7.386,0.269
319,6.27,6.72,5.81,7.386,0.269
320,6.27,6.72,5.81,7.386,0.269
321,6.27,6.72,5.81,7.386,0.269
322,6.27,6.72,5.81,7.386,0.269
323,6.27,6.72,5.81,7.386,0.269
324,6.26,6.72,5.81,7.386,0.269
325,6.26,6.72,5.81,7.386,0.269
326,6.26,6.72,5.81,7.386,0.269
327,6.26,6.72,5.81,7.386,0.269
328,6.26,6.72,5.81,7.386,0.269
329,6.26,6.71,5.81,7.386,0.269
330,6.26,6.71,5.81,7.385,0.269
331,6.26,6.71,5.8,7.385,0.269
332,6.26,6.71,5.8,7.385,0.269
333,6.26,6.71,5.8,7.385,0.269
334,6.26,6.71,5.8,7.385,0.269
335,6.26,6.71,5.8,7.385,0.269
336,6.25,6.71,5.8,7.385,0.269
337,6.25,6.71,5.8,7.385,0.269
338,6.25,6.71,5.8,7.385,0.269
339,6.25,6.71,5.8,7.385,0.269
340,6.25,6.71,5.8,7.385,0.269
341,6.25,6.7,5.8,7.385,0.269
342,6.25,6.7,5.8,7.385,0.269
343,6.25,6.7,5.79,7.385,0.269
344,6.25,6.7,5.79,7.385,0.269
345,6.25,6.7,5.79,7.385,0.269
346,6.25,6.7,5.79,7.385,0.269
347,6.25,6.7,5.79,7.385,0.269
348,6.24,6.7,5.79,7.385,0.269
349,6.24,6.7,5.79,7.385,0.269
350,6.24,6.7,5.79,7.385,0.269
351,6.24,6.7,5.79,7.385,0.269
352,6.24,6.7,5.79,7.385,0.269
353,6.24,6.69,5.79,7.385,0.269
354,6.24,6.69,5.79,7.385,0.269
355,6.24,6.69,5.78,7.385,0.269
356,6.24,6.69,5.78,7.385,0.269
357,6.24,6.69,5.78,7.384,0.269
358,6.24,6.69,5.78,7.384,0.269
359,6.24,6.69,5.78,7.384,0.269
360,6.23,6.69,5.78,7.384,0.269
361,6.23,6.69,5.78,7.384,0.269
362,6.23,6.69,5.78,7.384,0.269
363,6.23,6.69,5.78,7.384,0.269
364,6.23,6.69,5.78,7.384,0.269
365,6.23,6.68,5.78,7.384,0.269
366,6.23,6.68,5.78,7.384,0.269
367,6.23,6.68,5.78,7.384,0.269
368,6.23,6.68,5.77,7.384,0.269
369,6.23,6.68,5.77,7.384,0.269
370,6.23,6.68,5.77,7.384,0.269
371,6.23,6.68,5.77,7.384,0.269
372,6.23,6.68,5.77,7.384,0.269
373,6.22,6.68,5.77,7.384,0.269
374,6.22,6.68,5.77,7.384,0.269
375,6.22,6.68,5.77,7.384,0.269
376,6.22,6.68,5.77,7.384,0.269
377,6.22,6.68,5.77,7.384,0.269
378,6.22,6.67,5.77,7.384,0.269
379,6.22,6.67,5.77,7.384,0.269
380,6.22,6.67,5.77,7.384,0.269
381,6.22,6.67,5.76,7.384,0.269
382,6.22,6.67,5.76,7.384,0.269
383,6.22,6.67,5.76,7.384,0.269
384,6.22,6.67,5.76,7.384,0.269
385,6.22,6.67,5.76,7.384,0.269
386,6.22,6.67,5.76,7.384,0.269
387,6.21,6.67,5.76,7.383,0.269
388,6.21,6.67,5.76,7.383,0.269
389,6.21,6.67,5.76,7.383,0.269
390,6.21,6.67,5.76,7.383,0.269
391,6.21,6.67,5.76,7.383,0.269
392,6.21,6.66,5.76,7.383,0.269
393,6.21,6.66,5.76,7.383,0.269
394,6.21,6.66,5.76,7.383,0.269
395,6.21,6.66,5.75,7.383,0.269
396,6.21,6.66,5.75,7.383,0.269
397,6.21,6.66,5.75,7.383,0.269
398,6.21,6.66,5.75,7.383,0.269
399,6.21,6.66,5.75,7.383,0.269
400,6.21,6.66,5.75,7.383,0.269
401,6.2,6.66,5.75,7.383,0.269
402,6.2,6.66,5.75,7.383,0.269
403,6.2,6.66,5.75,7.383,0.269
404,6.2,6.66,5.75,7.383,0.269
405,6.2,6.66,5.75,7.383,0.269
406,6.2,6.65,5.75,7.383,0.269
407,6.2,6.65,5.75,7.383,0.269
408,6.2,6.65,5.75,7.383,0.269
409,6.2,6.65,5.74,7.383,0.269
410,6.2,6.65,5.74,7.383,0.269
411,6.2,6.65,5.74,7.383,0.269
412,6.2,6.65,5.74,7.383,0.269
413,6.2,6.65,5.74,7.383,0.269
414,6.2,6.65,5.74,7.383,0.269
415,6.19,6.65,5.74,7.383,0.269
416,6.19,6.65,5.74,7.383,0.269
417,6.19,6.65,5.74,7.383,0.269
418,6.19,6.65,5.74,7.383,0.269
419,6.19,6.65,5.74,7.382,0.269
420,6.19,6.65,5.74,7.382,0.269
421,6.19,6.64,5.74,7.382,0.269
422,6.19,6.64,5.74,7.382,0.269
423,6.19,6.64,5.74,7.382,0.269
424,6.19,6.64,5.73,7.382,0.269
425,6.19,6.64,5.73,7.382,0.269
426,6.19,6.64,5.73,7.382,0.269
427,6.19,6.64,5.73,7.382,0.269
428,6.19,6.64,5.73,7.382,0.269
429,6.19,6.64,5.73,7.382,0.269
430,6.18,6.64,5.73,7.382,0.269
431,6.18,6.64,5.73,7.382,0.269
432,6.18,6.64,5.73,7.382,0.269
433,6.18,6.64,5.73,7.382,0.269
434,6.18,6.64,5.73,7.382,0.269
435,6.18,6.64,5.73,7.382,0.269
436,6.18,6.63,5.73,7.382,0.269
437,6.18,6.63,5.73,7.382,0.269
438,6.18,6.63,5.73,7.382,0.269
439,6.18,6.63,5.72,7.382,0.269
440,6.18,6.63,5.72,7.382,0.269
441,6.18,6.63,5.72,7.382,0.269
442,6.18,6.63,5.72,7.382,0.269
443,6.18,6.63,5.72,7.382,0.269
444,6.18,6.63,5.72,7.382,0.269
445,6.17,6.63,5.72,7.382,0.269
446,6.17,6.63,5.72,7.382,0.269
447,6.17,6.63,5.72,7.382,0.269
448,6.17,6.63,5.72,7.382,0.269
449,6.17,6.63,5.72,7.382,0.269
450,6.17,6.63,5.72,7.382,0.269
451,6.17,6.62,5.72,7.382,0.27
452,6.17,6.62,5.72,7.382,0.27
453,6.17,6.62,5.72,7.382,0.27
454,6.17,6.62,5.72,7.381,0.27
455,6.17,6.62,5.71,7.381,0.27
456,6.17,6.62,5.71,7.381,0.27
457,6.17,6.62,5.71,7.381,0.27
458,6.17,6.62,5.71,7.381,0.27
459,6.17,6.62,5.71,7.381,0.27
460,6.17,6.62,5.71,7.381,0.27
461,6.16,6.62,5.71,7.381,0.27
462,6.16,6.62,5.71,7.381,0.27
463,6.16,6.62,5.71,7.381,0.27
464,6.16,6.62,5.71,7.381,0.27
465,6.16,6.62,5.71,7.381,0.27
466,6.16,6.62,5.71,7.381,0.27
467,6.16,6.62,5.71,7.381,0.27
468,6.16,6.61,5.71,7.381,0.27
469,6.16,6.61,5.71,7.381,0.27
470,6.16,6.61,5.71,7.381,0.27
471,6.16,6.61,5.71,7.381,0.27
472,6.16,6.61,5.7,7.381,0.27
473,6.16,6.61,5.7,7.381,0.27
474,6.16,6.61,5.7,7.381,0.27
475,6.16,6.61,5.7,7.381,0.27
476,6.16,6.61,5.7,7.381,0.27
477,6.16,6.61,5.7,7.381,0.27
478,6.15,6.61,5.7,7.381,0.27
479,6.15,6.61,5.7,7.381,0.27
480,6.15,6.61,5.7,7.381,0.27
481,6.15,6.61,5.7,7.381,0.27
482,6.15,6.61,5.7,7.381,0.27
483,6.15,6.61,5.7,7.381,0.27
484,6.15,6.61,5.7,7.381,0.27
485,6.15,6.6,5.7,7.381,0.27
486,6.15,6.6,5.7,7.381,0.27
487,6.15,6.6,5.7,7.381,0.27
488,6.15,6.6,5.7,7.381,0.27
489,6.15,6.6,5.69,7.381,0.27
490,6.15,6.6,5.69,7.381,0.27
491,6.15,6.6,5.69,7.381,0.27
492,6.15,6.6,5.69,7.38,0.27
493,6.15,6.6,5.69,7.38,0.27
494,6.15,6.6,5.69,7.38,0.27
495,6.14,6.6,5.69,7.38,0.27
496,6.14,6.6,5.69,7.38,0.27
497,6.14,6.6,5.69,7.38,0.27
498,6.14,6.6,5.69,7.38,0.27
499,6.14,6.6,5.69,7.38,0.27
500,6.14,6.6,5.69,7.38,0.27
501,6.14,6.6,5.69,7.38,0.27
502,6.14,6.59,5.69,7.38,0.27
503,6.14,6.59,5.69,7.38,0.27
504,6.14,6.59,5.69,7.38,0.27
505,6.14,6.59,5.69,7.38,0.27
506,6.14,6.59,5.69,7.38,0.27
507,6.14,6.59,5.68,7.38,0.27
508,6.14,6.59,5.68,7.38,0.27
509,6.14,6.59,5.68,7.38,0.27
510,6.14,6.59,5.68,7.38,0.27
511,6.14,6.59,5.68,7.38,0.27
512,6.14,6.59,5.68,7.38,0.27
513,6.13,6.59,5.68,7.38,0.27
514,6.13,6.59,5.68,7.38,0.27
515,6.13,6.59,5.68,7.38,0.27
516,6.13,6.59,5.68,7.38,0.27
517,6.13,6.59,5.68,7.38,0.27
518,6.13,6.59,5.68,7.38,0.27
519,6.13,6.59,5.68,7.38,0.27
520,6.13,6.58,5.68,7.38,0.27
521,6.13,6.58,5.68,7.38,0.27
522,6.13,6.58,5.68,7.38,0.27
523,6.13,6.58,5.68,7.38,0.27
524,6.13,6.58,5.68,7.38,0.27
525,6.13,6.58,5.67,7.38,0.27
526,6.13,6.58,5.67,7.38,0.27
527,6.13,6.58,5.67,7.38,0.27
528,6.13,6.58,5.67,7.38,0.27
529,6.13,6.58,5.67,7.38,0.27
530,6.13,6.58,5.67,7.38,0.27
531,6.13,6.58,5.67,7.38,0.27
532,6.12,6.58,5.67,7.38,0.27
533,6.12,6.58,5.67,7.379,0.27
534,6.12,6.58,5.67,7.379,0.27
535,6.12,6.58,5.67,7.379,0.27
536,6.12,6.58,5.67,7.379,0.27
537,6.12,6.58,5.67,7.379,0.27
538,6.12,6.58,5.67,7.379,0.27
539,6.12,6.57,5.67,7.379,0.27
540,6.12,6.57,5.67,7.379,0.27
541,6.12,6.57,5.67,7.379,0.27
542,6.12,6.57,5.67,7.379,0.27
543,6.12,6.57,5.67,7.379,0.27
544,6.12,6.57,5.66,7.379,0.27
545,6.12,6.57,5.66,7.379,0.27
546,6.12,6.57,5.66,7.379,0.27
547,6.12,6.57,5.66,7.379,0.27
548,6.12,6.57,5.66,7.379,0.27
549,6.12,6.57,5.66,7.379,0.27
550,6.12,6.57,5.66,7.379,0.27
551,6.11,6.57,5.66,7.379,0.27
552,6.11,6.57,5.66,7.379,0.27
553,6.11,6.57,5.66,7.379,0.27
554,6.11,6.57,5.66,7.379,0.27
555,6.11,6.57,5.66,7.379,0.27
556,6.11,6.57,5.66,7.379,0.27
557,6.11,6.57,5.66,7.379,0.27
558,6.11,6.57,5.66,7.379,0.27
559,6.11,6.56,5.66,7.379,0.27
560,6.11,6.56,5.66,7.379,0.27
561,6.11,6.56,5.66,7.379,0.27
562,6.11,6.56,5.66,7.379,0.27
563,6.11,6.56,5.66,7.379,0.27
564,6.11,6.56,5.65,7.379,0.27
565,6.11,6.56,5.65,7.379,0.27
566,6.11,6.56,5.65,7.379,0.27
567,6.11,6.56,5.65,7.379,0.27
568,6.11,6.56,5.65,7.379,0.27
569,6.11,6.56,5.65,7.379,0.27
570,6.11,6.56,5.65,7.379,0.27
571,6.1,6.56,5.65,7.379,0.27
572,6.1,6.56,5.65,7.379,0.27
573,6.1,6.56,5.65,7.379,0.27
574,6.1,6.56,5.65,7.379,0.27
575,6.1,6.56,5.65,7.379,0.27
576,6.1,6.56,5.65,7.379,0.27
577,6.1,6.56,5.65,7.378,0.27
578,6.1,6.56,5.65,7.378,0.27
579,6.1,6.55,5.65,7.378,0.27
580,6.1,6.55,5.65,7.378,0.27
581,6.1,6.55,5.65,7.378,0.27
582,6.1,6.55,5.65,7.378,0.27
583,6.1,6.55,5.65,7.378,0.27
584,6.1,6.55,5.65,7.378,0.27
585,6.1,6.55,5.64,7.378,0.27
586,6.1,6.55,5.64,7.378,0.27
587,6.1,6.55,5.64,7.378,0.27
588,6.1,6.55,5.64,7.378,0.27
589,6.1,6.55,5.64,7.378,0.27
590,6.1,6.55,5.64,7.378,0.27
591,6.1,6.55,5.64,7.378,0.27
592,6.09,6.55,5.64,7.378,0.27
593,6.09,6.55,5.64,7.378,0.27
594,6.09,6.55,5.64,7.378,0.27
595,6.09,6.55,5.64,7.378,0.27
596,6.09,6.55,5.64,7.378,0.27
597,6.09,6.55,5.64,7.378,0.27
598,6.09,6.55,5.64,7.378,0.27
599,6.09,6.55,5.64,7.378,0.27
600,6.09,6.54,5.64,7.378,0.27
601,6.09,6.54,5.64,7.378,0.27
602,6.09,6.54,5.64,7.378,0.27
603,6.09,6.54,5.64,7.378,0.27
604,6.09,6.54,5.64,7.378,0.27
605,6.09,6.54,5.64,7.378,0.27
606,6.09,6.54,5.63,7.378,0.27
607,6.09,6.54,5.63,7.378,0.27
608,6.09,6.54,5.63,7.378,0.27
609,6.09,6.54,5.63,7.378,0.27
610,6.09,6.54,5.63,7.378,0.27
611,6.09,6.54,5.63,7.378,0.27
612,6.09,6.54,5.63,7.378,0.27
613,6.09,6.54,5.63,7.378,0.27
614,6.08,6.54,5.63,7.378,0.27
615,6.08,6.54,5.63,7.378,0.27
616,6.08,6.54,5.63,7.378,0.27
617,6.08,6.54,5.63,7.378,0.27
618,6.08,6.54,5.63,7.378,0.27
619,6.08,6.54,5.63,7.378,0.27
620,6.08,6.54,5.63,7.378,0.27
621,6.08,6.53,5.63,7.378,0.27
622,6.08,6.53,5.63,7.378,0.27
623,6.08,6.53,5.63,7.378,0.27
624,6.08,6.53,5.63,7.378,0.27
625,6.08,6.53,5.63,7.378,0.27
626,6.08,6.53,5.63,7.377,0.27
627,6.08,6.53,5.63,7.377,0.27
628,6.08,6.53,5.62,7.377,0.27
629,6.08,6.53,5.62,7.377,0.27
630,6.08,6.53,5.62,7.377,0.27
631,6.08,6.53,5.62,7.377,0.27
632,6.08,6.53,5.62,7.377,0.27
633,6.08,6.53,5.62,7.377,0.27
