Total Load [W],FIELD A:Load [W],FIELD B:Load [W],FIELD A:Load [W/m],FIELD B:Load [W/m],FIELD A:MFT [C],FIELD B:MFT [C]
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.841758111218043,9.841758120401947
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.822187725020413,9.822187735370827
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.810091824862786,9.810091835934188
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.801300206735545,9.801300218330978
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.794415577264257,9.794415589270052
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.788723346641385,9.788723358986472
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.783910634224497,9.783910646856446
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.779733846618331,9.779733859499242
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.77604656256693,9.77604657566762
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.772748174587138,9.772748187884428
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.769770029342864,9.769770042817669
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.767064175544123,9.767064189180207
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.764575031341224,9.764575045125673
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.762270443769955,9.76227045769177
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.760124924070603,9.760124938120303
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.758126934393731,9.758126948562522
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.756272018484907,9.756272032764258
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.754523157247046,9.754523171630636
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.752868876430519,9.752868890912712
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.75129946873898,9.751299483314716
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.74980664867676,9.749806663341475
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.748383287763415,9.748383302512968
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.747023208655333,9.747023223485952
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.745752601653011,9.745752616559365
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.744535989713594,9.744536004692462
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.74336710052884,9.74336711557738
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.742242331047068,9.742242346162646
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.741158471460421,9.741158486640602
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.74011264998222,9.740112665224734
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.739102286989963,9.739102302292698
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.7381250566903,9.738125072051282
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.737178854872274,9.737178870289654
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.736261771624147,9.73626178709619
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.73537686130674,9.735376876831525
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.734544454145322,9.73454446971972
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.733735498219435,9.73373551384205
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.732948708281764,9.732948723951274
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.732182901930203,9.732182917645359
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.731436988919453,9.731437004679066
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.730709961826062,9.730709977629008
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.730000887866304,9.730000903711511
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.729308901700154,9.729308917586607
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.728633199082108,9.728633215008834
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.727973031241994,9.72797304720807
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.727327699897335,9.727327715901875
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.726696552813923,9.726696568856083
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.726078979843887,9.726078995922855
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.725474409380894,9.725474425495893
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.724882305180872,9.724882321331165
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.724310992919117,9.724311009103461
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.723769662561054,9.72376967877766
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.723238844139198,9.723238860387443
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.722718137161797,9.722718153441079
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.722207163597275,9.722207179907011
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.721705566225529,9.72170558256516
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.721213007137804,9.721213023506794
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.72072916636933,9.720729182767156
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.720253740650875,9.720253757077039
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.719786442267035,9.71978645872105
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.719326998010464,9.719327014491862
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.718875148222557,9.718875164730887
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.71843064591212,9.718430662446945
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.717993255944585,9.717993272505478
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.717562754295031,9.717562770881583
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.717138927359166,9.71713894397098
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.716721571316874,9.716721587953563
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.716310491543645,9.716310508204835
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.715905502065588,9.715905518750915
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.715506425054253,9.715506441763365
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.715113090357773,9.71511310709033
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.714725335065289,9.714725351820956
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.71434300310181,9.714343019880266
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.713967888950284,9.713967905751097
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.713618718748165,9.713618735569788
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.7132742355361,9.713274252378254
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.712934315149889,9.712934332012304
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.71259883829481,9.71259885517722
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.712267690294249,9.712267707196395
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.71194076085439,9.711940777776022
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.711617943843667,9.711617960784539
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.711299137085934,9.71129915404581
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.71098424216633,9.710984259144968
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.71067316424888,9.71067318124606
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.710365811905069,9.710365828920569
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.710062096952516,9.710062113986117
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.7097619343031,9.70976195135459
