Total Load [W],FIELD A:Load [W],FIELD A:Load [W/m],FIELD A:MFT [C]
-1000,-1000.0,-1.6666666666666667,9.841758115809995
-1000,-1000.0,-1.6666666666666667,9.822187730148096
-1000,-1000.0,-1.6666666666666667,9.810091830374526
-1000,-1000.0,-1.6666666666666667,9.801300212533262
-1000,-1000.0,-1.6666666666666667,9.794415583267154
-1000,-1000.0,-1.6666666666666667,9.788723352813928
-1000,-1000.0,-1.6666666666666667,9.783910640540471
-1000,-1000.0,-1.6666666666666667,9.779733853058787
-1000,-1000.0,-1.6666666666666667,9.776046569117275
-1000,-1000.0,-1.6666666666666667,9.772748181235782
-1000,-1000.0,-1.6666666666666667,9.769770036080265
-1000,-1000.0,-1.6666666666666667,9.767064182362166
-1000,-1000.0,-1.6666666666666667,9.764575038233449
-1000,-1000.0,-1.6666666666666667,9.762270450730863
-1000,-1000.0,-1.6666666666666667,9.760124931095453
-1000,-1000.0,-1.6666666666666667,9.758126941474574
-1000,-1000.0,-1.6666666666666667,9.756272025609055
-1000,-1000.0,-1.6666666666666667,9.754523164412022
-1000,-1000.0,-1.6666666666666667,9.752868883634116
-1000,-1000.0,-1.6666666666666667,9.751299475979216
-1000,-1000.0,-1.6666666666666667,9.749806655951849
-1000,-1000.0,-1.6666666666666667,9.748383295071733
-1000,-1000.0,-1.6666666666666667,9.747023215995405
-1000,-1000.0,-1.6666666666666667,9.745752609038258
-1000,-1000.0,-1.6666666666666667,9.74453599714316
-1000,-1000.0,-1.6666666666666667,9.74336710800099
-1000,-1000.0,-1.6666666666666667,9.742242338560192
-1000,-1000.0,-1.6666666666666667,9.74115847901303
-1000,-1000.0,-1.6666666666666667,9.74011265757293
-1000,-1000.0,-1.6666666666666667,9.739102294617478
-1000,-1000.0,-1.6666666666666667,9.738125064353415
-1000,-1000.0,-1.6666666666666667,9.737178862569861
-1000,-1000.0,-1.6666666666666667,9.736261779355143
-1000,-1000.0,-1.6666666666666667,9.735376869069132
-1000,-1000.0,-1.6666666666666667,9.734544461932522
-1000,-1000.0,-1.6666666666666667,9.733735506030742
-1000,-1000.0,-1.6666666666666667,9.73294871611652
-1000,-1000.0,-1.6666666666666667,9.732182909787781
-1000,-1000.0,-1.6666666666666667,9.731436996799259
-1000,-1000.0,-1.6666666666666667,9.730709969727535
-1000,-1000.0,-1.6666666666666667,9.730000895788908
-1000,-1000.0,-1.6666666666666667,9.72930890964338
-1000,-1000.0,-1.6666666666666667,9.72863320704547
-1000,-1000.0,-1.6666666666666667,9.727973039225033
-1000,-1000.0,-1.6666666666666667,9.727327707899606
-1000,-1000.0,-1.6666666666666667,9.726696560835004
-1000,-1000.0,-1.6666666666666667,9.72607898788337
-1000,-1000.0,-1.6666666666666667,9.725474417438393
-1000,-1000.0,-1.6666666666666667,9.72488231325602
-1000,-1000.0,-1.6666666666666667,9.724311001011289
-1000,-1000.0,-1.6666666666666667,9.723769670669357
-1000,-1000.0,-1.6666666666666667,9.72323885226332
-1000,-1000.0,-1.6666666666666667,9.722718145301439
-1000,-1000.0,-1.6666666666666667,9.722207171752142
-1000,-1000.0,-1.6666666666666667,9.721705574395346
-1000,-1000.0,-1.6666666666666667,9.721213015322299
-1000,-1000.0,-1.6666666666666667,9.720729174568243
-1000,-1000.0,-1.6666666666666667,9.720253748863957
-1000,-1000.0,-1.6666666666666667,9.719786450494043
-1000,-1000.0,-1.6666666666666667,9.719327006251163
-1000,-1000.0,-1.6666666666666667,9.718875156476722
-1000,-1000.0,-1.6666666666666667,9.718430654179533
-1000,-1000.0,-1.6666666666666667,9.717993264225031
-1000,-1000.0,-1.6666666666666667,9.717562762588306
-1000,-1000.0,-1.6666666666666667,9.717138935665073
-1000,-1000.0,-1.6666666666666667,9.71672157963522
-1000,-1000.0,-1.6666666666666667,9.71631049987424
-1000,-1000.0,-1.6666666666666667,9.715905510408252
-1000,-1000.0,-1.6666666666666667,9.715506433408809
-1000,-1000.0,-1.6666666666666667,9.715113098724052
-1000,-1000.0,-1.6666666666666667,9.714725343443122
-1000,-1000.0,-1.6666666666666667,9.714343011491039
-1000,-1000.0,-1.6666666666666667,9.713967897350692
-1000,-1000.0,-1.6666666666666667,9.713618727158977
-1000,-1000.0,-1.6666666666666667,9.713274243957176
-1000,-1000.0,-1.6666666666666667,9.712934323581097
-1000,-1000.0,-1.6666666666666667,9.712598846736014
-1000,-1000.0,-1.6666666666666667,9.712267698745322
-1000,-1000.0,-1.6666666666666667,9.711940769315206
-1000,-1000.0,-1.6666666666666667,9.711617952314104
-1000,-1000.0,-1.6666666666666667,9.71129914556587
-1000,-1000.0,-1.6666666666666667,9.710984250655649
-1000,-1000.0,-1.6666666666666667,9.71067317274747
-1000,-1000.0,-1.6666666666666667,9.71036582041282
-1000,-1000.0,-1.6666666666666667,9.710062105469317
-1000,-1000.0,-1.6666666666666667,9.709761942828845
-1000,-1000.0,-1.6666666666666667,9.709465250354452
-1000,-1000.0,-1.6666666666666667,9.709171948725436
-1000,-1000.0,-1.6666666666666667,9.70888196131005
-1000,-1000.0,-1.6666666666666667,9.708595214045316
-1000,-1000.0,-1.6666666666666667,9.708311635323483
-1000,-1000.0,-1.6666666666666667,9.708031155884692
-1000,-1000.0,-1.6666666666666667,9.707753708715439
-1000,-1000.0,-1.6666666666666667,9.707479228952469
-1000,-1000.0,-1.6666666666666667,9.707207653791754
-1000,-1000.0,-1.6666666666666667,9.70693892240224
-1000,-1000.0,-1.6666666666666667,9.706672975844072
-1000,-1000.0,-1.6666666666666667,9.706409756990979
-1000,-1000.0,-1.6666666666666667,9.70614921045665
-1000,-1000.0,-1.6666666666666667,9.705891282524759
-1000,-1000.0,-1.6666666666666667,9.705635921082516
-1000,-1000.0,-1.6666666666666667,9.705383075557455
-1000,-1000.0,-1.6666666666666667,9.705132696857332
-1000,-1000.0,-1.6666666666666667,9.704884737312904
-1000,-1000.0,-1.6666666666666667,9.704639150623475
-1000,-1000.0,-1.6666666666666667,9.704395891804989
-1000,-1000.0,-1.6666666666666667,9.704154917140588
-1000,-1000.0,-1.6666666666666667,9.703903291699413
-1000,-1000.0,-1.6666666666666667,9.703653787683121
-1000,-1000.0,-1.6666666666666667,9.703406562274141
-1000,-1000.0,-1.6666666666666667,9.703161574229856
-1000,-1000.0,-1.6666666666666667,9.702918783417353
-1000,-1000.0,-1.6666666666666667,9.702678150773952
-1000,-1000.0,-1.6666666666666667,9.7024396382695
-1000,-1000.0,-1.6666666666666667,9.702203208870287
-1000,-1000.0,-1.6666666666666667,9.701968826504546
-1000,-1000.0,-1.6666666666666667,9.701736456029419
-1000,-1000.0,-1.6666666666666667,9.701506063199332
-1000,-1000.0,-1.6666666666666667,9.701277614635712
-1000,-1000.0,-1.6666666666666667,9.70105107779796
-1000,-1000.0,-1.6666666666666667,9.700826420955634
-1000,-1000.0,-1.6666666666666667,9.70060361316178
-1000,-1000.0,-1.6666666666666667,9.700382624227343
-1000,-1000.0,-1.6666666666666667,9.700163424696624
-1000,-1000.0,-1.6666666666666667,9.699945985823716
-1000,-1000.0,-1.6666666666666667,9.699730279549875
-1000,-1000.0,-1.6666666666666667,9.6995162784818
-1000,-1000.0,-1.6666666666666667,9.699303955870752
-1000,-1000.0,-1.6666666666666667,9.699093285592486
-1000,-1000.0,-1.6666666666666667,9.698884242127965
-1000,-1000.0,-1.6666666666666667,9.698676800544812
-1000,-1000.0,-1.6666666666666667,9.698470936479454
-1000,-1000.0,-1.6666666666666667,9.698266626119961
-1000,-1000.0,-1.6666666666666667,9.698063846189513
-1000,-1000.0,-1.6666666666666667,9.697862573930482
-1000,-1000.0,-1.6666666666666667,9.697662787089111
-1000,-1000.0,-1.6666666666666667,9.697464463900745
-1000,-1000.0,-1.6666666666666667,9.6972675830756
-1000,-1000.0,-1.6666666666666667,9.697072123785055
-1000,-1000.0,-1.6666666666666667,9.696878065648422
-1000,-1000.0,-1.6666666666666667,9.696685388720194
-1000,-1000.0,-1.6666666666666667,9.696494073477744
-1000,-1000.0,-1.6666666666666667,9.69630410080946
-1000,-1000.0,-1.6666666666666667,9.696115452003275
-1000,-1000.0,-1.6666666666666667,9.695928108735615
-1000,-1000.0,-1.6666666666666667,9.695742053060725
-1000,-1000.0,-1.6666666666666667,9.695557267400337
-1000,-1000.0,-1.6666666666666667,9.695373734533717
-1000,-1000.0,-1.6666666666666667,9.69519143758803
-1000,-1000.0,-1.6666666666666667,9.695010360029029
-1000,-1000.0,-1.6666666666666667,9.694830485652062
-1000,-1000.0,-1.6666666666666667,9.69465179857336
-1000,-1000.0,-1.6666666666666667,9.694474283221634
-1000,-1000.0,-1.6666666666666667,9.694297924329916
-1000,-1000.0,-1.6666666666666667,9.694122706927695
-1000,-1000.0,-1.6666666666666667,9.69394861633328
-1000,-1000.0,-1.6666666666666667,9.693775638146423
-1000,-1000.0,-1.6666666666666667,9.693537988604248
-1000,-1000.0,-1.6666666666666667,9.693297464132847
-1000,-1000.0,-1.6666666666666667,9.693058447661771
-1000,-1000.0,-1.6666666666666667,9.692820920399559
-1000,-1000.0,-1.6666666666666667,9.692584863903816
-1000,-1000.0,-1.6666666666666667,9.692350260072628
-1000,-1000.0,-1.6666666666666667,9.692117091136232
-1000,-1000.0,-1.6666666666666667,9.691885339648934
-1000,-1000.0,-1.6666666666666667,9.691654988481286
-1000,-1000.0,-1.6666666666666667,9.691426020812477
-1000,-1000.0,-1.6666666666666667,9.69119842012297
-1000,-1000.0,-1.6666666666666667,9.690972170187347
-1000,-1000.0,-1.6666666666666667,9.69074725506737
-1000,-1000.0,-1.6666666666666667,9.690523659105242
-1000,-1000.0,-1.6666666666666667,9.690301366917067
-1000,-1000.0,-1.6666666666666667,9.690080363386498
-1000,-1000.0,-1.6666666666666667,9.689860633658565
-1000,-1000.0,-1.6666666666666667,9.689642163133694
-1000,-1000.0,-1.6666666666666667,9.689424937461876
-1000,-1000.0,-1.6666666666666667,9.68920894253701
-1000,-1000.0,-1.6666666666666667,9.688994164491415
-1000,-1000.0,-1.6666666666666667,9.688780589690483
-1000,-1000.0,-1.6666666666666667,9.688568204727481
-1000,-1000.0,-1.6666666666666667,9.688356996418513
-1000,-1000.0,-1.6666666666666667,9.68814695179759
-1000,-1000.0,-1.6666666666666667,9.687938058111872
-1000,-1000.0,-1.6666666666666667,9.687730302817013
-1000,-1000.0,-1.6666666666666667,9.68752367357264
-1000,-1000.0,-1.6666666666666667,9.687318158237959
-1000,-1000.0,-1.6666666666666667,9.687113744867473
-1000,-1000.0,-1.6666666666666667,9.686910421706811
-1000,-1000.0,-1.6666666666666667,9.68670817718868
-1000,-1000.0,-1.6666666666666667,9.686506999928909
-1000,-1000.0,-1.6666666666666667,9.686306878722608
-1000,-1000.0,-1.6666666666666667,9.686107802540423
-1000,-1000.0,-1.6666666666666667,9.685909760524886
-1000,-1000.0,-1.6666666666666667,9.685712741986867
-1000,-1000.0,-1.6666666666666667,9.685516736402102
-1000,-1000.0,-1.6666666666666667,9.685321733407832
-1000,-1000.0,-1.6666666666666667,9.685127722799509
-1000,-1000.0,-1.6666666666666667,9.684934694527586
-1000,-1000.0,-1.6666666666666667,9.684742638694406
-1000,-1000.0,-1.6666666666666667,9.684551545551148
-1000,-1000.0,-1.6666666666666667,9.68436140549486
-1000,-1000.0,-1.6666666666666667,9.684172209065565
-1000,-1000.0,-1.6666666666666667,9.68398394694343
-1000,-1000.0,-1.6666666666666667,9.68379660994602
-1000,-1000.0,-1.6666666666666667,9.683610189025607
-1000,-1000.0,-1.6666666666666667,9.683424675266549
-1000,-1000.0,-1.6666666666666667,9.683240059882722
-1000,-1000.0,-1.6666666666666667,9.683056334215042
-1000,-1000.0,-1.6666666666666667,9.682873489729012
-1000,-1000.0,-1.6666666666666667,9.682691518012346
-1000,-1000.0,-1.6666666666666667,9.682510410772652
-1000,-1000.0,-1.6666666666666667,9.682330159835162
-1000,-1000.0,-1.6666666666666667,9.682150757140517
-1000,-1000.0,-1.6666666666666667,9.681972194742604
-1000,-1000.0,-1.6666666666666667,9.681794464806444
-1000,-1000.0,-1.6666666666666667,9.681617559606133
-1000,-1000.0,-1.6666666666666667,9.681441471522824
-1000,-1000.0,-1.6666666666666667,9.681266193042756
-1000,-1000.0,-1.6666666666666667,9.681091716755336
-1000,-1000.0,-1.6666666666666667,9.680918035351251
-1000,-1000.0,-1.6666666666666667,9.68074514162064
-1000,-1000.0,-1.6666666666666667,9.68057302845129
-1000,-1000.0,-1.6666666666666667,9.680401688826885
-1000,-1000.0,-1.6666666666666667,9.680231115825286
-1000,-1000.0,-1.6666666666666667,9.680061302616858
-1000,-1000.0,-1.6666666666666667,9.679892242462827
-1000,-1000.0,-1.6666666666666667,9.67972392871367
-1000,-1000.0,-1.6666666666666667,9.67955635480756
-1000,-1000.0,-1.6666666666666667,9.67938951426881
-1000,-1000.0,-1.6666666666666667,9.67922340070639
-1000,-1000.0,-1.6666666666666667,9.679039475980556
-1000,-1000.0,-1.6666666666666667,9.67883668026006
-1000,-1000.0,-1.6666666666666667,9.678634756781918
-1000,-1000.0,-1.6666666666666667,9.678433698075068
-1000,-1000.0,-1.6666666666666667,9.67823349676403
-1000,-1000.0,-1.6666666666666667,9.678034145567274
-1000,-1000.0,-1.6666666666666667,9.677835637295644
-1000,-1000.0,-1.6666666666666667,9.67763796485079
-1000,-1000.0,-1.6666666666666667,9.677441121223652
-1000,-1000.0,-1.6666666666666667,9.677245099492966
-1000,-1000.0,-1.6666666666666667,9.677049892823806
-1000,-1000.0,-1.6666666666666667,9.67685549446615
-1000,-1000.0,-1.6666666666666667,9.67666189775348
-1000,-1000.0,-1.6666666666666667,9.67646909610142
-1000,-1000.0,-1.6666666666666667,9.676277083006376
-1000,-1000.0,-1.6666666666666667,9.676085852044233
-1000,-1000.0,-1.6666666666666667,9.675895396869059
-1000,-1000.0,-1.6666666666666667,9.675705711211842
-1000,-1000.0,-1.6666666666666667,9.675516788879253
-1000,-1000.0,-1.6666666666666667,9.675328623752435
-1000,-1000.0,-1.6666666666666667,9.675141209785806
-1000,-1000.0,-1.6666666666666667,9.674954541005901
-1000,-1000.0,-1.6666666666666667,9.674768611510231
-1000,-1000.0,-1.6666666666666667,9.674583415466154
-1000,-1000.0,-1.6666666666666667,9.674398947109783
-1000,-1000.0,-1.6666666666666667,9.674215200744914
-1000,-1000.0,-1.6666666666666667,9.674032170741958
-1000,-1000.0,-1.6666666666666667,9.673849851536922
-1000,-1000.0,-1.6666666666666667,9.673668237630379
-1000,-1000.0,-1.6666666666666667,9.673487323586484
-1000,-1000.0,-1.6666666666666667,9.67330710403199
-1000,-1000.0,-1.6666666666666667,9.673127573655293
-1000,-1000.0,-1.6666666666666667,9.672948727205501
-1000,-1000.0,-1.6666666666666667,9.672770559491495
-1000,-1000.0,-1.6666666666666667,9.67259306538104
-1000,-1000.0,-1.6666666666666667,9.672416239799892
-1000,-1000.0,-1.6666666666666667,9.672240077730928
-1000,-1000.0,-1.6666666666666667,9.672064574213291
-1000,-1000.0,-1.6666666666666667,9.671889724341554
-1000,-1000.0,-1.6666666666666667,9.671715523264895
-1000,-1000.0,-1.6666666666666667,9.671541966186293
-1000,-1000.0,-1.6666666666666667,9.67136904836173
-1000,-1000.0,-1.6666666666666667,9.671196765099419
-1000,-1000.0,-1.6666666666666667,9.671025111759032
-1000,-1000.0,-1.6666666666666667,9.670854083750964
-1000,-1000.0,-1.6666666666666667,9.670683676535578
